data,faturamento_vendas,pedidos_com_linha_de_produto
2025-12-01,0.0,0
2025-12-02,0.0,0
2025-12-03,3543.36,54
2025-12-04,3483.7,40
2025-12-05,5340.37,77
2025-12-06,11797.69,160
2025-12-07,9076.55,130
2025-12-08,0.0,0
2025-12-09,1389.2,16
2025-12-10,3095.81,48
2025-12-11,5276.65,64
2025-12-12,6131.74,88
2025-12-13,10689.67,152
2025-12-14,8024.89,109
2025-12-15,0.0,0
2025-12-16,2135.06,26
2025-12-17,6849.98,85
2025-12-18,4127.45,53
2025-12-19,6422.08,78
2025-12-20,9119.91,131
2025-12-21,8945.1,130
2025-12-22,0.0,0
2025-12-23,4808.53,64
2025-12-24,17897.91,210
2025-12-25,12986.11,165
2025-12-26,7752.9,108
2025-12-27,3752.09,39
2025-12-28,10393.0,127
2025-12-29,2208.52,29
2025-12-30,8406.88,95
2025-12-31,20368.55,240
